period_label,period_start,period_end,ic_success_email,ic_support_email,ic_chat,ic_total,support_marco_escalations,ic_no_effort,lin_cus_created,lin_cus_p0,lin_cus_p1,lin_rep_created,lin_rep_p0,lin_rep_p1,lin_total_created,grand_total,metric_created_completed_1wk_pct,ic_avg_first_response_min,ic_avg_resolution_hr,_ic_resp_sum_sec,_ic_resp_n,_ic_res_sum_sec,_ic_res_n,_metric_num,_metric_den
2026-03-11,2026-03-11,2026-03-11,0,0,0,0,,,0,0,0,1,0,0,1,1,100.0,,,0,0,0,0,1,1
2026-03-12,2026-03-12,2026-03-12,0,0,0,0,,,3,0,0,1,0,0,4,4,0.0,,,0,0,0,0,0,4
2026-03-13,2026-03-13,2026-03-13,0,0,6,6,,,1,0,0,1,0,0,2,8,0.0,0.6,2.8,228,6,61071,6,0,2
2026-03-14,2026-03-14,2026-03-14,0,0,1,1,,,0,0,0,0,0,0,0,1,,5.5,35.0,328,1,126015,1,0,0
2026-03-15,2026-03-15,2026-03-15,0,0,2,2,,0,0,0,0,0,0,0,0,2,,1.0,35.0,122,2,252032,2,0,0
2026-03-16,2026-03-16,2026-03-16,0,0,8,8,,0,1,0,0,0,0,0,1,9,0.0,0.6,32.7,274,8,823027,7,0,1
2026-03-17,2026-03-17,2026-03-17,0,0,7,7,,0,4,0,0,0,0,0,4,11,50.0,1.8,20.8,735,7,449271,6,2,4
2026-03-18,2026-03-18,2026-03-18,0,0,8,8,,0,1,0,0,2,0,0,3,11,0.0,0.6,44.0,283,8,1266709,8,0,3
2026-03-19,2026-03-19,2026-03-19,0,0,10,10,,0,1,0,0,2,0,0,3,13,33.3,1.3,8.7,753,10,282645,9,1,3
2026-03-20,2026-03-20,2026-03-20,0,1,5,6,,1,0,0,0,1,0,0,1,7,0.0,8.0,68.2,2413,5,1473985,6,0,1
2026-03-21,2026-03-21,2026-03-21,0,0,0,0,,0,0,0,0,1,0,0,1,1,0.0,,,0,0,0,0,0,1
2026-03-22,2026-03-22,2026-03-22,0,0,5,5,,5,0,0,0,0,0,0,0,5,,,9.8,0,0,175617,5,0,0
2026-03-23,2026-03-23,2026-03-23,0,2,9,11,,2,0,0,0,1,0,0,1,12,0.0,0.9,61.7,359,7,1777648,8,0,1
2026-03-24,2026-03-24,2026-03-24,0,3,9,12,,2,2,0,0,5,0,0,7,19,14.3,8.9,5.6,4791,9,222613,11,1,7
2026-03-25,2026-03-25,2026-03-25,0,6,13,19,,8,1,0,0,1,0,0,2,21,0.0,2.7,50.1,1629,10,3068050,17,0,2
2026-03-26,2026-03-26,2026-03-26,0,0,20,20,,3,0,0,0,2,0,0,2,22,0.0,229.4,14.4,234018,17,878438,17,0,2
2026-03-27,2026-03-27,2026-03-27,0,0,8,8,,0,1,0,0,0,0,0,1,9,0.0,0.8,4.0,369,8,100014,7,0,1
2026-03-28,2026-03-28,2026-03-28,0,0,4,4,,3,0,0,0,0,0,0,0,4,,3.6,15.0,427,2,215546,4,0,0
2026-03-29,2026-03-29,2026-03-29,0,0,2,2,,0,0,0,0,0,0,0,0,2,,10.0,10.8,1200,2,77446,2,0,0
2026-03-30,2026-03-30,2026-03-30,0,4,18,22,,6,1,0,0,2,0,0,3,25,33.3,25.8,45.2,24807,16,3583523,22,1,3
2026-03-31,2026-03-31,2026-03-31,0,6,19,25,,5,3,0,0,1,0,0,4,29,25.0,10.7,51.7,12797,20,4468446,24,1,4
2026-04-01,2026-04-01,2026-04-01,0,1,12,13,,1,0,0,0,3,0,0,3,16,0.0,3.5,49.6,2524,12,2321072,13,0,3
2026-04-02,2026-04-02,2026-04-02,0,2,15,17,,8,0,0,0,2,0,0,2,19,100.0,1.5,72.9,835,9,3935683,15,2,2
2026-04-03,2026-04-03,2026-04-03,0,0,6,6,,0,0,0,0,3,0,0,3,9,0.0,0.4,0.7,152,6,15963,6,0,3
2026-04-04,2026-04-04,2026-04-04,0,0,4,4,,4,0,0,0,2,0,0,2,6,0.0,,35.5,0,0,511031,4,0,2
2026-04-05,2026-04-05,2026-04-05,0,0,4,4,,4,0,0,0,0,0,0,0,4,,,67.4,0,0,727593,3,0,0
2026-04-06,2026-04-06,2026-04-06,0,1,24,25,,1,3,0,0,2,0,0,5,30,0.0,3.2,39.0,4601,24,3367159,24,0,5
2026-04-07,2026-04-07,2026-04-07,0,3,20,23,,5,3,0,0,1,0,0,4,27,0.0,1.5,94.9,1535,17,6151922,18,0,4
2026-04-08,2026-04-08,2026-04-08,0,4,15,19,,4,1,0,0,2,0,0,3,22,0.0,5.7,14.8,4760,14,852270,16,0,3
2026-04-09,2026-04-09,2026-04-09,0,1,18,19,,1,1,0,0,4,0,0,5,24,20.0,4.3,11.4,4129,16,699523,17,1,5
2026-04-10,2026-04-10,2026-04-10,0,5,34,39,,10,2,0,0,0,0,0,2,41,0.0,966.2,22.3,1565297,27,2734222,34,0,2
2026-04-11,2026-04-11,2026-04-11,0,1,3,4,,3,1,0,0,0,0,0,1,5,0.0,538.6,206.6,32318,1,1487308,2,0,1
2026-04-12,2026-04-12,2026-04-12,0,0,6,6,,5,0,0,0,0,0,0,0,6,,694.2,12.1,41650,1,260689,6,0,0
2026-04-13,2026-04-13,2026-04-13,0,3,13,16,,3,0,0,0,1,0,0,1,17,0.0,124.6,41.9,89719,12,1960561,13,0,1
2026-04-14,2026-04-14,2026-04-14,0,0,12,12,,2,3,0,1,5,0,0,8,20,25.0,4.0,38.1,2415,10,1643949,12,2,8
2026-04-15,2026-04-15,2026-04-15,0,2,13,15,,0,2,0,1,1,0,0,3,18,33.3,1.2,61.6,1018,14,2880622,13,1,3
2026-04-16,2026-04-16,2026-04-16,0,1,12,13,,4,7,0,0,1,0,0,8,21,0.0,1.0,43.9,514,9,1897199,12,0,8
2026-04-17,2026-04-17,2026-04-17,0,1,11,12,,3,7,0,0,1,0,0,8,20,0.0,0.7,43.2,395,9,1865675,12,0,8
2026-04-19,2026-04-19,2026-04-19,0,1,2,3,,2,0,0,0,1,0,0,1,4,0.0,6.9,61.4,416,1,442411,2,0,1
2026-04-20,2026-04-20,2026-04-20,0,3,17,20,,5,2,0,0,6,0,0,8,28,0.0,16.2,49.9,14618,15,2876568,16,0,8
2026-04-21,2026-04-21,2026-04-21,0,8,18,26,,4,5,0,0,1,0,0,6,32,0.0,141.1,51.3,160804,19,4061525,22,0,6
2026-04-22,2026-04-22,2026-04-22,0,6,17,23,,3,3,0,0,1,0,0,4,27,0.0,4.5,44.7,4873,18,3382238,21,0,4
2026-04-23,2026-04-23,2026-04-23,0,3,18,21,,3,5,0,0,7,0,0,12,33,16.7,3.5,49.0,3793,18,3704503,21,2,12
2026-04-24,2026-04-24,2026-04-24,0,2,13,15,,3,1,0,0,3,0,0,4,19,25.0,340.5,33.0,265610,13,1665454,14,1,4
2026-04-25,2026-04-25,2026-04-25,0,1,2,3,,3,0,0,0,1,0,0,1,4,0.0,,38.9,0,0,420587,3,0,1
2026-04-26,2026-04-26,2026-04-26,0,4,6,10,,8,0,0,0,0,0,0,0,10,,52.5,54.5,6301,2,1963457,10,0,0
2026-04-27,2026-04-27,2026-04-27,0,4,25,29,,5,3,0,0,1,0,0,4,33,0.0,18.8,48.0,27020,24,4833709,28,0,4
2026-04-28,2026-04-28,2026-04-28,0,3,19,22,,9,7,0,0,1,0,0,8,30,0.0,15.2,35.1,10973,12,2653259,21,0,8
2026-04-29,2026-04-29,2026-04-29,0,2,9,11,,5,6,0,0,2,0,0,8,19,12.5,6.8,35.2,2848,7,1392923,11,1,8
2026-04-30,2026-04-30,2026-04-30,0,2,11,13,,3,1,1,0,6,0,0,7,20,42.9,1.0,30.6,629,10,1433471,13,3,7
2026-05-01,2026-05-01,2026-05-01,0,2,10,12,,3,2,0,1,6,0,0,8,20,37.5,2.0,18.3,859,7,659048,10,3,8
2026-05-02,2026-05-02,2026-05-02,0,2,0,2,,1,0,0,0,0,0,0,0,2,,,57.4,0,0,206667,1,0,0
2026-05-03,2026-05-03,2026-05-03,0,0,4,4,,4,0,0,0,0,0,0,0,4,,,28.9,0,0,415907,4,0,0
2026-05-04,2026-05-04,2026-05-04,0,1,19,20,,5,1,0,0,1,0,0,2,22,50.0,1.3,16.5,1211,15,1187951,20,1,2
2026-05-05,2026-05-05,2026-05-05,0,5,26,31,,11,1,0,0,2,0,0,3,34,33.3,1.0,26.9,1089,19,2423732,25,1,3
2026-05-06,2026-05-06,2026-05-06,0,5,23,28,,9,4,0,0,3,0,0,7,35,0.0,2.4,40.6,2599,18,3508781,24,0,7
2026-05-07,2026-05-07,2026-05-07,0,6,18,24,,9,2,0,0,3,0,0,5,29,20.0,11.6,11.7,9055,13,883809,21,1,5
2026-05-08,2026-05-08,2026-05-08,0,9,14,23,,1,2,0,0,2,0,0,4,27,0.0,17.5,23.4,20951,20,1597346,19,0,4
2026-05-09,2026-05-09,2026-05-09,0,2,8,10,,6,0,0,0,0,0,0,0,10,,3194.8,32.1,383380,2,809104,7,0,0
2026-05-10,2026-05-10,2026-05-10,0,0,2,2,,1,0,0,0,0,0,0,0,2,,4.3,13.1,257,1,94261,2,0,0
2026-05-11,2026-05-11,2026-05-11,0,1,24,25,,8,1,0,0,1,0,0,2,27,0.0,297.1,18.6,338653,19,1676423,25,0,2
2026-05-12,2026-05-12,2026-05-12,0,2,18,20,,2,3,0,0,2,0,0,5,25,20.0,149.9,24.9,161910,18,1524687,17,1,5
2026-05-13,2026-05-13,2026-05-13,0,5,13,18,,3,1,0,0,1,0,0,2,20,0.0,50.9,25.0,45801,15,1618499,18,0,2
2026-05-14,2026-05-14,2026-05-14,0,2,22,24,,8,3,0,0,7,0,0,10,34,20.0,1.5,27.4,1580,17,2068212,21,2,10
2026-05-15,2026-05-15,2026-05-15,0,4,17,21,,1,2,0,0,3,0,0,5,26,0.0,3.5,22.0,4038,19,1423199,18,0,5
2026-05-17,2026-05-17,2026-05-17,0,1,3,4,,4,0,0,0,0,0,0,0,4,,,43.4,0,0,625342,4,0,0
2026-05-18,2026-05-18,2026-05-18,0,5,12,17,,4,2,0,0,1,0,0,3,20,33.3,15.9,19.8,11466,12,1139592,16,1,3
2026-05-19,2026-05-19,2026-05-19,0,2,18,20,,6,7,0,0,0,0,0,7,27,0.0,139.3,18.4,117054,14,1192334,18,0,7
2026-05-20,2026-05-20,2026-05-20,0,1,20,21,,9,2,0,0,5,0,0,7,28,0.0,1.2,10.2,883,12,770492,21,0,7
2026-05-21,2026-05-21,2026-05-21,0,3,13,16,,0,3,0,0,4,0,0,7,23,14.3,2.5,21.3,2239,15,1148692,15,1,7
