period_label,period_start,period_end,ic_success_email,ic_support_email,ic_chat,ic_total,support_marco_escalations,lin_cus_created,lin_cus_p0,lin_cus_p1,lin_rep_created,lin_rep_p0,lin_rep_p1,lin_total_created,grand_total,metric_created_completed_1wk_pct,ic_avg_first_response_min,ic_avg_resolution_hr,_ic_resp_sum_sec,_ic_resp_n,_ic_res_sum_sec,_ic_res_n,_metric_num,_metric_den
2026-W11,2026-03-09,2026-03-15,0,1,16,17,,4,0,0,3,0,0,7,24,14.3,3.2,24.4,3062,16,1491975,17,1,7
2026-W12,2026-03-16,2026-03-22,0,1,43,44,,7,0,0,6,0,0,13,57,23.1,2.0,30.3,4458,38,4471254,41,3,13
2026-W13,2026-03-23,2026-03-29,0,11,65,76,,4,0,0,9,0,0,13,89,7.7,73.6,26.7,242793,55,6339755,66,1,13
2026-W14,2026-03-30,2026-04-05,0,13,78,91,,4,0,0,13,0,0,17,108,23.5,10.9,49.7,41115,63,15563311,87,4,17
2026-W15,2026-04-06,2026-04-12,0,15,120,135,,11,0,0,9,0,0,20,155,5.0,275.7,28.4,1654290,100,11753091,115,1,20
2026-W16,2026-04-13,2026-04-19,0,8,63,71,,19,0,3,10,0,0,29,100,10.3,28.6,46.4,94477,55,10690417,64,3,29
2026-W17,2026-04-20,2026-04-26,0,27,91,118,,16,0,0,19,0,0,35,153,8.6,89.4,46.9,455999,85,18074332,107,3,35
2026-W18,2026-04-27,2026-05-03,0,15,78,93,,19,1,1,16,0,0,35,128,20.0,11.8,36.6,42329,60,11594984,88,7,35
2026-W19,2026-05-04,2026-05-10,0,28,110,138,,10,0,0,11,0,0,21,159,14.3,79.3,24.5,418542,88,10420218,118,3,21
2026-W20,2026-05-11,2026-05-17,0,15,97,112,,10,0,0,14,0,0,24,136,12.5,104.5,22.0,551982,88,8063129,102,3,24
2026-W21,2026-05-18,2026-05-24,0,12,77,89,,14,0,0,13,0,0,27,116,7.4,38.0,17.8,132174,58,5320435,83,2,27
2026-W22,2026-05-25,2026-05-31,15,26,80,121,,32,0,1,16,0,1,48,169,14.6,13.9,6.8,59025,71,2271649,93,7,48
2026-W23,2026-06-01,2026-06-07,20,71,85,176,,7,0,0,15,0,0,22,198,18.2,5.6,4.6,32787,97,2416531,147,4,22
2026-W24,2026-06-08,2026-06-14,4,66,36,106,,6,0,1,3,0,0,9,115,0.0,18.9,1.0,56582,50,256366,70,0,9
